baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	absLog
1110059G10Rik	530.079043187365	0.0380269963864507	0.0897451882167603	-0.423721841159936	0.671768684616436	0.999638684933826	0.0380269963864507
1110065P20Rik	875.128013657279	0.0164557778449229	0.0930204998620103	-0.176904852901607	0.859583126681364	0.999638684933826	0.0164557778449229
1190002N15Rik	1678.22362124526	-0.00260979423056207	0.0731889994837215	0.0356582853840286	0.971554832823227	0.999638684933826	0.00260979423056207
1190005I06Rik	103.801891613214	0.0918009858912377	0.0879207577550865	-1.04413324265198	0.296423747659464	0.999638684933826	0.0918009858912377
1190007I07Rik	240.968949702143	-0.0427070715618819	0.0938641996145858	0.454987862648813	0.649117970766408	0.999638684933826	0.0427070715618819
1500009C09Rik	4031.09616787253	-0.0193919265650739	0.0777752482959552	0.249332878903614	0.803103300536025	0.999638684933826	0.0193919265650739
1500009L16Rik	682.643130283985	0.0537465886587242	0.0927065967502925	-0.579749344089202	0.562083662374791	0.999638684933826	0.0537465886587242
1500011B03Rik	2852.55002136475	-0.0289882166405423	0.090682492104464	0.319667181258634	0.749220640909549	0.999638684933826	0.0289882166405423
1500011K16Rik	683.093594204124	0.0290317245218063	0.0931011647273674	-0.311829874597394	0.755169818643267	0.999638684933826	0.0290317245218063
1500015O10Rik	73.0494080657666	-0.00309452209830238	0.0672637388653563	0.0460057997147135	0.963305627302103	0.999638684933826	0.00309452209830238
1600002H07Rik	256.272173912789	-0.0324616900157586	0.0913970825443907	0.355172059239334	0.722460695418667	0.999638684933826	0.0324616900157586
1600002K03Rik	180.7695934394	-0.0886622579847379	0.0933226062244521	0.950061957887187	0.34208077161876	0.999638684933826	0.0886622579847379
1600012H06Rik	587.353078079254	0.0636838404521002	0.0863438525933437	-0.737560793725918	0.460781387514626	0.999638684933826	0.0636838404521002
1600014C10Rik	1665.70549514072	-0.073787538034476	0.0697236388734806	1.05828581563807	0.289925157655574	0.999638684933826	0.073787538034476
1700001C02Rik	146.124942788653	-0.148129246322347	0.0900416115343553	1.64511989288228	0.0999450890115989	0.999638684933826	0.148129246322347
1700001L19Rik	793.474828673795	-0.177193041641195	0.0853646371648936	2.07571949610612	0.0379199017154496	0.771799368910433	0.177193041641195
1700003E16Rik	884.257477171151	-0.00406594396506832	0.0810224777606459	0.0501829131550359	0.959976627723743	0.999638684933826	0.00406594396506832
1700003F12Rik	22.5618095131175	-0.0540831871009668	0.066044445916345	0.818890768944766	0.412848737070143	0.999638684933826	0.0540831871009668
1700007G11Rik	135.763855175247	-0.0903775982113286	0.0945618002204679	0.955751667170211	0.339197712337381	0.999638684933826	0.0903775982113286
1700007K13Rik	823.479384522159	-0.0222099656843523	0.0930752240209754	0.23862382194586	0.811397291427832	0.999638684933826	0.0222099656843523
1700010I14Rik	116.048194017159	0.00265877866819759	0.094508022010178	-0.0281328358338856	0.977556205223283	0.999638684933826	0.00265877866819759
1700012B09Rik	209.797994096917	-0.0377370045780722	0.0916430521245291	0.411782494179628	0.680498853565058	0.999638684933826	0.0377370045780722
1700013F07Rik	177.78314612769	-0.178437048190118	0.092943427626248	1.9198457895018	0.0548773811011715	0.868250217517465	0.178437048190118
1700016K19Rik	226.384597097896	-0.0589587030539545	0.0945364374944643	0.623661147136065	0.532850144090806	0.999638684933826	0.0589587030539545
1700017B05Rik	550.46374507713	-0.293327048527698	0.0867963106367794	3.37948751940849	0.000726211045500344	0.0607733595687269	0.293327048527698
1700019D03Rik	215.03709367012	0.0314971637805658	0.0942904872929628	-0.334043917735872	0.738346418650278	0.999638684933826	0.0314971637805658
1700020D05Rik	21.6579512671142	-0.0256572831064045	0.0726226581334951	0.353295841350798	0.723866662896915	0.999638684933826	0.0256572831064045
1700021F05Rik	490.005493530865	0.0327039046471208	0.0854482465289205	-0.382733478750228	0.701917388653418	0.999638684933826	0.0327039046471208
1700023F06Rik	180.913715859311	0.0215841010236648	0.0945426181373737	-0.228300225325919	0.819412849398871	0.999638684933826	0.0215841010236648
1700024G13Rik	42.4570354270087	-0.028329925195737	0.0822745398847281	0.344334045932423	0.730595083015895	0.999638684933826	0.028329925195737
1700025G04Rik	3399.93447394275	-0.000137784505739959	0.0633901376792466	0.00217359530653091	0.998265723229089	0.999638684933826	0.000137784505739959
1700028P14Rik	147.08674965932	-0.186299898677432	0.0939823798192198	1.98228539260008	0.0474473079792534	0.847661821342772	0.186299898677432
1700029I15Rik	65.2850885794363	0.0281210331184363	0.0922303843180847	-0.3048998800813	0.760442407097115	0.999638684933826	0.0281210331184363
1700029J07Rik	631.703973029321	-0.125401133551133	0.0896927074726012	1.39811961401031	0.162077150822894	0.999638684933826	0.125401133551133
1700030J22Rik	298.001874136624	-0.0453147966648345	0.0909697737320739	0.498130255861652	0.61839223643841	0.999638684933826	0.0453147966648345
1700030K09Rik	398.213097407709	-0.0830657453190094	0.0863838261005079	0.961589096810346	0.336256050561363	0.999638684933826	0.0830657453190094
1700037C18Rik	164.979531705859	-0.025302745089492	0.092557826268998	0.273372291781739	0.784567049816831	0.999638684933826	0.025302745089492
