baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	absLog
1110051M20Rik	3503.85618882401	-0.0336026611624109	0.0612995293622491	0.548171601185325	0.583574079926568	0.999734703812778	0.0336026611624109
1110059E24Rik	1039.4265146111	-0.0940323661329201	0.0758123288661772	1.24033079499384	0.2148530665882	0.999734703812778	0.0940323661329201
1110059G10Rik	532.198016926613	-0.0334927895786676	0.090188702890019	0.371363469097793	0.710366830685266	0.999734703812778	0.0334927895786676
1110065P20Rik	857.182532470392	-0.103550603989653	0.0923277677128403	1.12155429027287	0.262051995917543	0.999734703812778	0.103550603989653
1190002N15Rik	1648.1394611626	-0.149767430723886	0.0717832604909516	2.0863837850158	0.0369438725986896	0.515554546462854	0.149767430723886
1190005I06Rik	95.825969873766	-0.0168011781416944	0.0960146869418934	0.174985501456274	0.861091025975097	0.999734703812778	0.0168011781416944
1190007I07Rik	239.909339394876	-0.13392699513939	0.0954179936265342	1.4035821761625	0.160443305766687	0.987126697309459	0.13392699513939
1500009C09Rik	4028.81335316209	-0.118444444279677	0.0781467113181251	1.51566767534855	0.129603405183256	0.908731160927295	0.118444444279677
1500009L16Rik	677.929277043554	-0.035967698047902	0.0815718133034716	0.440932922676261	0.659261558393021	0.999734703812778	0.035967698047902
1500011B03Rik	2851.04216775645	-0.128807211818959	0.0836540968276785	1.53975975718551	0.123618924662348	0.8959376254743	0.128807211818959
1500011K16Rik	663.273691730333	-0.102326163962588	0.09395636168486	1.0890818048681	0.276117812839845	0.999734703812778	0.102326163962588
1500015O10Rik	69.0309230835597	-0.063840690307636	0.0790768836222798	0.807324307474972	0.419479663197868	0.999734703812778	0.063840690307636
1600002H07Rik	271.147937207027	-0.00383311449385896	0.0924717280865428	0.0414517450162887	0.966935761659836	0.999734703812778	0.00383311449385896
1600002K03Rik	199.43868042025	0.011630044839111	0.0942727523961042	-0.123365920093701	0.901817342715313	0.999734703812778	0.011630044839111
1600012H06Rik	575.737244446714	-0.0654348417163166	0.0813457219636096	0.804404216187167	0.421163567013005	0.999734703812778	0.0654348417163166
1600014C10Rik	1693.02859031208	-0.140951921531884	0.0654330134885143	2.1541407619355	0.0312291347425299	0.466126345248927	0.140951921531884
1700001C02Rik	158.239589095542	-0.150399579838291	0.098671845374694	1.52424006328419	0.127448753433336	0.907125028048314	0.150399579838291
1700001L19Rik	839.400963231723	-0.157043398787232	0.080492732249164	1.95102581809631	0.0510539746150958	0.615622165286488	0.157043398787232
1700003E16Rik	913.409075001032	-0.022927928295316	0.0801827214966838	0.285945997683108	0.774919482840149	0.999734703812778	0.022927928295316
1700003F12Rik	22.8255778925374	-0.0893152064273589	0.0770297571112403	1.15948965408754	0.246256651261711	0.999734703812778	0.0893152064273589
1700007G11Rik	145.209505963915	-0.0483648082668516	0.0986187607379263	0.490421983656622	0.623835323637479	0.999734703812778	0.0483648082668516
1700007K13Rik	860.625614367364	-0.0185508662001626	0.0927946523630682	0.199913095504474	0.841548548448471	0.999734703812778	0.0185508662001626
1700010I14Rik	121.09696637368	0.00635424982498569	0.0973961628979159	-0.0652412747681425	0.947981898598944	0.999734703812778	0.00635424982498569
1700012B09Rik	226.772189849338	0.00466624731111367	0.098676213603907	-0.0472884714632881	0.962283316244176	0.999734703812778	0.00466624731111367
1700013F07Rik	194.228262998729	-0.0964118857633625	0.0949122632276748	1.01580009247162	0.309724591990667	0.999734703812778	0.0964118857633625
1700016K19Rik	239.047752177208	-0.0452911646321887	0.0976663440765218	0.463733592778931	0.642838626304945	0.999734703812778	0.0452911646321887
1700017B05Rik	603.307765764534	-0.193875952385441	0.083715415186011	2.31589309991068	0.0205641061706051	0.35056403272143	0.193875952385441
1700019D03Rik	213.931268321354	-0.0457483103589007	0.0954528743289425	0.479276403990165	0.631742006189641	0.999734703812778	0.0457483103589007
1700020D05Rik	19.7309727505024	-0.114580342908373	0.0785895339219832	1.45795931328615	0.144851758080294	0.952575436403245	0.114580342908373
1700021F05Rik	502.814933656115	0.0024745013172627	0.0847014115107518	-0.0292144047321879	0.976693592822631	0.999734703812778	0.0024745013172627
1700023F06Rik	181.172542517887	-0.03979381142273	0.0979739983517658	0.406167065672407	0.684619851156684	0.999734703812778	0.03979381142273
1700024G13Rik	43.8142523044915	-0.047446130397199	0.0934875235830509	0.507512966209332	0.611794940945177	0.999734703812778	0.047446130397199
1700025G04Rik	3508.9409230831	-0.0234928849844636	0.0589186673939503	0.398734153767977	0.690089099350568	0.999734703812778	0.0234928849844636
1700028P14Rik	164.434802419854	-0.0716812038669434	0.0951752013940943	0.753150009844805	0.451359775411144	0.999734703812778	0.0716812038669434
1700029I15Rik	63.0436004356137	-0.0648559519389529	0.0978836677846647	0.662581954750921	0.507598330498005	0.999734703812778	0.0648559519389529
1700029J07Rik	689.451775077349	-0.039710270691659	0.0780258653699269	0.508937267191968	0.610796196801024	0.999734703812778	0.039710270691659
1700030J22Rik	331.708947665318	0.0832167298773453	0.0908205008385178	-0.91627693206964	0.359521663838431	0.999734703812778	0.0832167298773453
1700030K09Rik	429.49043330286	-0.011159832240162	0.0832436075561209	0.134062333046274	0.893353284584312	0.999734703812778	0.011159832240162
1700037C18Rik	162.715359247473	-0.13027900387209	0.0951727557633111	1.36886867283833	0.171040329788123	0.999734703812778	0.13027900387209
1700037H04Rik	2477.19965114003	0.0189997858731228	0.0855370306975373	-0.222123514437939	0.824217733185369	0.999734703812778	0.0189997858731228
1700040L02Rik	125.989142120737	-0.0648051233419082	0.0986622886687337	0.656837827465126	0.511285198405173	0.999734703812778	0.0648051233419082
1700048O20Rik	505.776705787557	-0.376842679479203	0.0825661285753868	4.5641316358333	5.01566020743288e-06	0.000273682377056399	0.376842679479203
1700066M21Rik	967.638690042121	-0.0152055660833341	0.077461418002525	0.196298576445352	0.844376475548106	0.999734703812778	0.0152055660833341
1700088E04Rik	557.157754471049	-0.104116505778602	0.0872956522890199	1.19268833038662	0.232991457587621	0.999734703812778	0.104116505778602
1700102P08Rik	72.2992012230871	0.212341865932421	0.0965664256305531	-2.19892022041703	0.0278835955598081	0.431175599632154	0.212341865932421
1700109H08Rik	131.371731469429	-0.0866846691630638	0.0976072423528746	0.888096693170339	0.374488741286613	0.999734703812778	0.0866846691630638
1700112E06Rik	47.3030660137117	-0.019026710682221	0.0927609215805449	0.205115584860808	0.837481820345359	0.999734703812778	0.019026710682221
1700123O20Rik	628.508640086735	0.135180000696923	0.0896070079645593	-1.50858737243396	0.131404263153908	0.915497833401956	0.135180000696923
1810010H24Rik	239.806337991059	-0.0928620990468578	0.0955214989977018	0.972159147639548	0.330971380603082	0.999734703812778	0.0928620990468578
1810011O10Rik	57.9887518754391	0.166360785523096	0.0929321469006092	-1.79013173666395	0.0734327358794677	0.730705116217663	0.166360785523096
1810013L24Rik	1940.64130010551	0.0610088912414487	0.0681302704071309	-0.895474080417905	0.37053371542768	0.999734703812778	0.0610088912414487
1810022K09Rik	821.587729472694	-0.0558151578211828	0.087996173662203	0.634290736725034	0.525891100727621	0.999734703812778	0.0558151578211828
1810026J23Rik	2956.11962270516	-0.0669307589763078	0.0585632128807241	1.14288058465348	0.253088174657883	0.999734703812778	0.0669307589763078
1810030O07Rik	1343.495598524	0.119146347926628	0.0695298537464502	-1.71359986403985	0.0866022385501268	0.77764821556878	0.119146347926628
1810032O08Rik	140.546790476565	0.0181082955885382	0.0985372563727557	-0.183771055285287	0.85419306392023	0.999734703812778	0.0181082955885382
1810037I17Rik	1722.62239639775	-0.108253148876931	0.0934057641564278	1.15895576525275	0.246474216260059	0.999734703812778	0.108253148876931
1810041L15Rik	2556.394615994	-0.0386472031225883	0.0758598694332136	0.509455175857019	0.610433209755094	0.999734703812778	0.0386472031225883
1810043G02Rik	1410.45157102383	-0.101889744631352	0.0831923912690296	1.22474835831872	0.220670047720811	0.999734703812778	0.101889744631352
