baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	absLog
1110059E24Rik	1007.22294885582	-0.109075200921617	0.0786577800547442	1.38670581404285	0.165531487007544	0.999844636672322	0.109075200921617
1110059G10Rik	522.82809164509	-0.0667351569427271	0.0847344139615016	0.787580320943126	0.430942229280607	0.999844636672322	0.0667351569427271
1110065P20Rik	827.913549950743	-0.123501716722357	0.0852917881668144	1.44799070786054	0.147619649346305	0.999844636672322	0.123501716722357
1190002N15Rik	1501.09198037837	-0.261713493218844	0.0752737319197204	3.47682367466464	0.000507391382329649	0.0265381673789346	0.261713493218844
1190005I06Rik	104.244308560919	-0.0955028148248346	0.0825437948418724	1.15699568947354	0.24727412146249	0.999844636672322	0.0955028148248346
1190007I07Rik	227.048364089436	-0.0548015881249352	0.0874093645354028	0.626953283738143	0.530689858150687	0.999844636672322	0.0548015881249352
1500009C09Rik	3929.74220146572	-0.0458361558497578	0.0672127870949215	0.681955887129417	0.495266844908657	0.999844636672322	0.0458361558497578
1500009L16Rik	651.728185522667	-0.129095874888702	0.0872572057974946	1.47948669349218	0.13901028512746	0.999844636672322	0.129095874888702
1500011B03Rik	2698.14221247426	-0.0801824518444886	0.0838634307527394	0.956107460961098	0.339017945744158	0.999844636672322	0.0801824518444886
1500011K16Rik	675.381718942839	-0.0550470350622273	0.0854532162602331	0.644177451373989	0.519460370956436	0.999844636672322	0.0550470350622273
1500015O10Rik	60.1371515128283	-0.0955986208934866	0.0639658792180076	1.49452523848955	0.13503839032659	0.999844636672322	0.0955986208934866
1600002H07Rik	258.352848036269	0.0429265570038522	0.0839683014385065	-0.511223357724928	0.609194664768437	0.999844636672322	0.0429265570038522
1600002K03Rik	173.248088761537	0.0140053210766143	0.0875062741863259	-0.160049335968676	0.872842210616243	0.999844636672322	0.0140053210766143
1600012H06Rik	583.667504807853	-0.0792879880359806	0.0813338394359364	0.974846245865878	0.329636533485767	0.999844636672322	0.0792879880359806
1600014C10Rik	1558.34429892268	-0.0921895462012153	0.0659619627511335	1.39761678331246	0.162228175679363	0.999844636672322	0.0921895462012153
1700001C02Rik	139.757575154855	0.116772705354752	0.0849522865789528	-1.37456812591178	0.169265376022195	0.999844636672322	0.116772705354752
1700001L19Rik	714.02483531998	-0.0387657672327547	0.0783412820156744	0.494831923033867	0.620718768345453	0.999844636672322	0.0387657672327547
1700003E16Rik	902.073988456545	0.0430332367346558	0.0735896063335164	-0.584773297191241	0.558700161538658	0.999844636672322	0.0430332367346558
1700007G11Rik	131.488569780043	0.0366221121337769	0.0863653542161156	-0.424037074428432	0.671538775370938	0.999844636672322	0.0366221121337769
1700007K13Rik	849.659774845229	0.0761435965489526	0.0840533068182288	-0.905896501057578	0.364990636481089	0.999844636672322	0.0761435965489526
1700010I14Rik	120.645358213163	0.0444443616868007	0.0871746280252034	-0.509831388944398	0.610169593040391	0.999844636672322	0.0444443616868007
1700012B09Rik	206.136772546631	0.0186665044528047	0.0865092866572128	-0.215774573737609	0.829163468667593	0.999844636672322	0.0186665044528047
1700013F07Rik	160.362387653815	0.00839930365684718	0.0869549729548571	-0.0965937124862047	0.92304904985537	0.999844636672322	0.00839930365684718
1700016K19Rik	223.376637138398	0.0422776688213628	0.0871643724913135	-0.485033823028739	0.62765235328835	0.999844636672322	0.0422776688213628
1700017B05Rik	449.820549015581	-0.103006465085412	0.0786126016146779	1.31030474719945	0.190092762164508	0.999844636672322	0.103006465085412
1700019D03Rik	206.693414451448	-0.0955566342216491	0.0874738758682132	1.09240196885311	0.274656458000751	0.999844636672322	0.0955566342216491
1700020D05Rik	21.3637525803453	0.0138465052528815	0.0593529690910079	-0.233290860843881	0.815535554833436	0.999844636672322	0.0138465052528815
1700021F05Rik	482.253501058215	-0.070837963544053	0.0796591659640487	0.889263183800131	0.373861652787504	0.999844636672322	0.070837963544053
1700023F06Rik	181.268448206088	-0.0212934725420149	0.0875326382401357	0.243263232665269	0.807801485058795	0.999844636672322	0.0212934725420149
1700024G13Rik	42.4185060913802	0.0222931634525281	0.0728950815620787	-0.305825344794255	0.759737630086206	0.999844636672322	0.0222931634525281
1700025G04Rik	3407.01470336725	-0.000305013818487338	0.0640175887152112	0.0047645315078052	0.996198468253413	0.999844636672322	0.000305013818487338
