baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
1600012H06Rik	447.489619124053	0.0167465986162891	0.0607410345469113	0.275704863132607	0.7827747601147	0.999951691360058
1600014C10Rik	1051.63420880831	0.0227477392623369	0.0505132621709129	0.45033201746839	0.652471055964929	0.999951691360058
1700001C02Rik	212.074460521585	0.00363053136155959	0.0551793940453133	0.0657950567303837	0.947540991867865	0.999951691360058
1700001L19Rik	555.004484961835	-0.0335590444397976	0.0545067593222064	-0.615685923307598	0.538101829651479	0.999951691360058
1700003E16Rik	701.209076109644	0.0301486454856265	0.058220045443275	0.51783960757985	0.60457018119364	0.999951691360058
1700007G11Rik	154.677965376377	-0.0392177811320762	0.0572154103821511	-0.685440878080472	0.493065756242247	0.999951691360058
1700007K13Rik	1068.87875719255	-0.0543193003414997	0.0595075151097416	-0.912814125095394	0.361340308128761	0.999951691360058
1700010I14Rik	98.5999837478497	-0.0733449432219564	0.05907007441788	-1.24165990892599	0.214362067761547	0.999951691360058
1700012B09Rik	174.673096082319	-0.0116237856662055	0.0596027711960305	-0.195020893038269	0.845376591370832	0.999951691360058
1700013F07Rik	310.65967471632	0.00748148402245304	0.0597592417210777	0.125193757601081	0.900370159077007	0.999951691360058
1700016K19Rik	388.894480766519	0.0367270645020825	0.0606577269186069	0.605480395784768	0.544859846731711	0.999951691360058
1700017B05Rik	326.671987021308	-0.036764892190375	0.0602014359811146	-0.610697927569506	0.541399578290841	0.999951691360058
1700019D03Rik	168.471134648271	0.0710510052723475	0.060735517624673	1.16984275513088	0.242064254257497	0.999951691360058
1700020D05Rik	11.3851688985825	-0.0083860303156183	0.0318183192098763	-0.263559814718789	0.792119127077993	0.999951691360058
1700021F05Rik	399.452097045412	-0.0103408639213844	0.0602309407236992	-0.171686907047021	0.863683679631384	0.999951691360058
1700023F06Rik	105.892961482246	-0.00184375378642392	0.0584733081321041	-0.0315315456799275	0.974845634831971	0.999951691360058
1700024G13Rik	19.4650225099111	-0.0138187717169394	0.0343980188087285	-0.401731616980011	0.687881553360898	0.999951691360058
1700025G04Rik	3028.03435732619	0.0568650266740466	0.0537001458380618	1.05893616835844	0.28962885100619	0.999951691360058
1700028P14Rik	209.762889653842	-0.0107168149357518	0.0578878341789955	-0.185130694346143	0.853126527104542	0.999951691360058
1700029I15Rik	23.4564492283213	-0.00890312485788544	0.0414127955484431	-0.214984879431066	0.829779107404907	0.999951691360058
1700029J07Rik	520.602465239267	0.00677431939327515	0.0595379445080582	0.11378154636088	0.909410967450806	0.999951691360058
1700030J22Rik	325.399555986455	-0.0190196167618371	0.0604063330605741	-0.314861303412751	0.752866963689155	0.999951691360058
1700030K09Rik	269.994911663211	0.0627503362060806	0.0602720438021966	1.0411184397864	0.297820582433691	0.999951691360058
1700037C18Rik	65.2837915322474	0.0534527612315821	0.0532655206542717	1.0035152303969	0.315612332159458	0.999951691360058
1700037H04Rik	1183.07383356852	-0.0558470446871432	0.0559947863782151	-0.997361509872116	0.318589067107412	0.999951691360058
1700040L02Rik	154.958054728287	0.0252322579970619	0.0598758600863156	0.421409528993617	0.67345606211381	0.999951691360058
1700048O20Rik	345.82173174777	0.0550403199351566	0.0597335992454479	0.921429825599385	0.356826063023194	0.999951691360058
1700066M21Rik	712.824006312533	0.0311862326385432	0.0578529185578351	0.539060663073835	0.589844997222801	0.999951691360058
1700088E04Rik	610.81151775539	0.0170489918216885	0.0592436962619432	0.287777314675087	0.773517203391775	0.999951691360058
1700102P08Rik	34.5668803289414	-0.00145664195291219	0.0443488302866818	-0.0328451042225036	0.973798109631279	0.999951691360058
1700109H08Rik	114.115334596048	-0.001606612634084	0.054832146082799	-0.029300560872776	0.976624879583829	0.999951691360058
1700112E06Rik	32.1682321464957	-0.0173033862785534	0.038408752119822	-0.450506338361965	0.652345384919164	0.999951691360058
1700123O20Rik	386.183668757866	-0.0563002834106194	0.058647093760852	-0.959984200414052	0.337063166746771	0.999951691360058
1810010H24Rik	183.794941383668	0.0198610220070119	0.058958905641044	0.33686212101579	0.736220841136432	0.999951691360058
1810011O10Rik	43.7996567896091	-0.0614067921944213	0.0353860247554467	-1.73534022594526	0.0826805607309889	0.999951691360058
